,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
1211,Global Domination,Psygnosis,Psygnosis,Unreleased,1999,Unreleased,
1212,Global Force: Shin Sentou Kokka,Marionette,SCEI,"March 11, 1999",Unreleased,Unreleased,
1213,Glocal Hexcite,Soliton,Locus,"December 22, 1999",Unreleased,Unreleased,
1214,Glover,Interactive Studios Ltd.,Hasbro Interactive (Under the Atari Interactive Label),Unreleased,1999,"September 19, 1999",
1215,Goal Storm,Konami,Konami,"March 15, 1996","January 15, 1996","January 15, 1996",
1216,Goal Storm '97•International Superstar Soccer ProEU•World Soccer Winning Eleven '97JP,Konami,Konami,"June 5, 1997","April 15, 1997","April 15, 1997",
1217,Gochachiru,Pandora Box,Pandora Box,"October 19, 2000",Unreleased,Unreleased,
1218,Godzilla Trading Battle,Toho,Toho,"December 3, 1998",Unreleased,Unreleased,
1219,Goemon: Shin Sedai Shūmei!,Konami,Konami,"December 20, 2001",Unreleased,Unreleased,
1220,Go II Professional Taikyogu Igo,Mycom,Mycom,"December 27, 1996",Unreleased,Unreleased,
1221,Go-Jin Senki,Santa Entertainment,Tonkin House,"August 6, 1998",Unreleased,Unreleased,
1222,GoGo I-land,Kid,Kid,"December 14, 2000",Unreleased,Unreleased,
1223,Goiken Muyou II,Mediamuse,KSS,"October 29, 1998",Unreleased,Unreleased,
1224,Gokujou Parodius Da! Deluxe Pack•ParodiusPAL,KCET,Konami,"December 3, 1994","March 15, 1996",Unreleased,
1225,Gokuu Densetsu: Magic Beast WarriorsI,Mediamuse,KSS,"May 26, 1995",Unreleased,Unreleased,
1226,Gold and Glory: The Road to El Dorado,Revolution Software,Ubisoft,Unreleased,Unreleased,"December 20, 2000",
1227,Golden Nugget,Hasbro Interactive,Virgin Interactive,Unreleased,Unreleased,"October 21, 1997",
1228,Goldie,Midas Interactive,Midas Interactive,Unreleased,"September 1, 2000",Unreleased,
1229,Goo! Goo! Soundy,Konami,Konami,"September 22, 1999",Unreleased,Unreleased,
1230,Goofy's Fun House,The Code Monkeys,NewKidCo,Unreleased,"December 7, 2001",July 2001,
1231,Googootrops,Produce,Enix,"January 28, 1999",Unreleased,Unreleased,
1232,Goryujin + Electro,Produce,Enix,"October 29, 1998",Unreleased,Unreleased,
1233,Gotha II: Tenkuu no Kishi,"Micronet co., Ltd.",Koei,"July 12, 1996",Unreleased,Unreleased,
1234,Gotouchi Hello Kitty Sugoroku Monogatari,Bandai,Bandai,"June 19, 2003",Unreleased,Unreleased,
1235,Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,Atlus,Atlus,"October 20, 1995",Unreleased,Unreleased,
1236,Gourmet Action Game: Manpuku!! Nabe Kazoku,Media Entertainment,Media Entertainment,"January 31, 2002",Unreleased,Unreleased,
1237,GP Challenge,Midas Interactive,Midas Interactive,Unreleased,"April 12, 2002",Unreleased,
1238,Gradius Deluxe Pack,KCET,Konami,"March 29, 1996",Unreleased,Unreleased,
1239,Gradius Gaiden,KCET,Konami,"August 28, 1997",Unreleased,Unreleased,
1240,Gran Turismo,Polyphony Digital,Sony Computer Entertainment,"December 23, 1997","May 8, 1998","May 12, 1998",
1241,Gran Turismo 2,Polyphony Digital,Sony Computer Entertainment,"December 11, 1999","January 28, 2000","January 28, 2000",
1242,Grand Slam,Burst Studios,Virgin Interactive,Unreleased,Unreleased,"April 10, 1997",
1243,Grand Theft Auto,DMA Design,"BMG Interactive, ASC Games","April 27, 1999","December 12, 1997","June 30, 1998",
1244,Grand Theft Auto 2,DMA Design,Rockstar Games,Unreleased,"October 22, 1999","November 10, 1999",
1245,Grand Theft Auto: London 1969 (Expansion),Rockstar Canada,Rockstar Games,Unreleased,"April 29, 1999","April 2, 1999",
1246,Grandia,Game Arts,Ubisoft,"June 24, 1999","March 31, 2000","October 26, 1999",
1247,Granyuu-shima! Daibouken,Shuwa System,Shuwa System,"October 15, 1998",Unreleased,Unreleased,
1248,The Granstream Saga•Granstream Denki: The Granstream SagaJP,Shade,"SCEIJP, THQNA, ARC EntertainmentPAL","November 6, 1997","February 26, 1999","June 30, 1998",
1249,The Great Battle VI,Aspect,Banpresto,"April 11, 1997",Unreleased,Unreleased,
1250,Great Hits,Enix Corporation,Enix Corporation,"October 29, 1998",Unreleased,Unreleased,
1251,Grid Runner,Radical Entertainment,Virgin Interactive,Unreleased,Unreleased,"October 15, 1996",
1252,Grille Logic,Shoeisha,Shoeisha,"January 26, 1996",Unreleased,Unreleased,
1253,The Grinch,Artificial Mind and Movement,Konami,Unreleased,"December 8, 2000","October 26, 2000",
1254,Grind Session,Shaba Games,SCEA,Unreleased,"August 25, 2000","May 23, 2000",
1255,Gritz: The Primordial Adventure,Sanyo,Sanyo,"May 30, 1997",Unreleased,Unreleased,
1256,Groove Adventure Rave: Mikan no Hiseki,WinkySoft,Konami,"August 29, 2002",Unreleased,Unreleased,
1257,Groove Adventure Rave: Plue no Daibouken,Aspect,Konami,"July 25, 2002",Unreleased,Unreleased,
1258,Groove Adventure Rave: Yuukyuu no Kizuna,Konami,Konami,"January 31, 2002",Unreleased,Unreleased,
1259,Growlanser,Career Soft,Atlus,"November 25, 1999",Unreleased,Unreleased,
1260,Grudge Warriors,Take-Two Interactive,Tempest Software,Unreleased,Unreleased,"May 3, 2000",
1261,GT Kai: All Japan Grand Touring Car Championship,Kaneko,Kaneko,"February 23, 1996",Unreleased,Unreleased,
1262,GT Max Rev.: All Japan Grand Touring Car Championship,Kaneko,Kaneko,"February 28, 1997",Unreleased,Unreleased,
1263,The Guardian of Darkness,Cryo Interactive,Cryo Interactive,Unreleased,1999,Unreleased,
1264,Guardian Recall,Tsuji Jimusho,Xing,"October 1, 1998",Unreleased,Unreleased,
1265,Guardian's Crusade,Tamsoft,"TamsoftJP, ActivisionPAL,NA","September 23, 1998","March 29, 1999","March 1, 1999",
1266,Gubble,Mad Duck Productions,"Mad Duck Productions, Midas Interactive Entertainment","September 17, 1998","April 12, 2001","June 15, 2002",
1267,Guilty Gear,Arc System Works,Atlus,"May 14, 1998",May 2000,"November 12, 1998",
1268,Guitar Freaks,Konami,Konami,"July 29, 1999",Unreleased,Unreleased,
1269,Guitar Freaks Append 2nd Mix,Konami,Konami,"February 24, 2000",Unreleased,Unreleased,
1270,GunBare! Game Tengoku 2,Jaleco Entertainment,Jaleco Entertainment,"March 19, 1998",Unreleased,Unreleased,
1271,Gundam 0079: The War for Earth,Presto Studios,Bandai,"May 2, 1997",Unreleased,Unreleased,
1272,Gundam: Battle Assault,Natsume,Bandai,"March 12, 1998","December 7, 2001","November 10, 2000",
1273,Gundam: Battle Assault 2,Natsume,Bandai,"March 12, 1998",2002,"July 18, 2002",
1274,Gundam: The Battle Master,Natsume,Bandai,"June 20, 1997",Unreleased,Unreleased,
1275,Gundam: Char's Counterattack,Bandai,Bandai,"December 17, 1998",Unreleased,Unreleased,
1276,GunDress,Starfish,Starfish,"February 24, 2000",Unreleased,Unreleased,
1277,Gunfighter: The Legend of Jesse James,Natsume,Bandai,Unreleased,"December 7, 2001","November 18, 2001",
1278,Gung Ho Brigade,Tomy Corporation,Tomy Corporation,"October 19, 2000",Unreleased,Unreleased,
1279,Gungage,KCET,Konami,"June 3, 1999","September 24, 1999",Unreleased,
1280,Gunnm: Martian Memory,Yukito Products,Banpresto,"August 27, 1998",Unreleased,Unreleased,
1281,Gunparade March,Alfa System,SCEI,"September 28, 2000",Unreleased,Unreleased,
1282,Gunpey,TOSE,Bandai,"December 16, 1999",Unreleased,Unreleased,
1283,Gunship,MicroProse,MicroProse,Unreleased,June 1996,"July 3, 1996",
1284,"Guntu Western Front June, 1944","Electrocoin Japan Co., Ltd.","Electrocoin Japan Co., Ltd.","November 27, 1997",Unreleased,Unreleased,
1285,Guruguru Town Hanamarukun,Atlus,Atlus,"December 14, 2000",Unreleased,Unreleased,
1286,Gussun Oyoyo,Xing Entertainment,Xing Entertainment,"April 28, 1995",Unreleased,Unreleased,
1287,Gute Zeiten Schlechte Zeiten Quiz,Software 2000,Software 2000,Unreleased,"June 21, 2000",Unreleased,
1288,Gute Zeiten Schlechte Zeiten Vol.2,Software 2000,Software 2000,Unreleased,"June 21, 2000",Unreleased,
1289,Gute Zeiten Schlechte Zeiten Vol.3,Software 2000,Software 2000,Unreleased,"December 27, 2000",Unreleased,
1290,Guucho de Park: Theme Park Monogatari,Make,Electronic Arts Victor,"December 13, 1996",Unreleased,Unreleased,
1291,Hai-Shin 2,Aques,Aques,"March 26, 1998",Unreleased,Unreleased,[62]
1292,Hajime no Ippo: The Fighting!,Kodansha,Kodansha,"July 31, 1997",Unreleased,Unreleased,
1293,Hakai Ou: King of Crusher,FAB Communications,FAB Communications,"November 12, 1998",Unreleased,Unreleased,
1294,Hamster Club i,Jorudan,Jorudan,"February 28, 2002",Unreleased,Unreleased,
1295,Hamster Monogatari,Culture Brain,Culture Brain,"December 21, 2000",Unreleased,Unreleased,
1296,Hamster no Odaken,Shimada Kikaku,Kaga Tech,"February 22, 2001",Unreleased,Unreleased,
1297,Hana to Ryuu,I'Max,I'Max,"August 13, 1998",Unreleased,Unreleased,
1298,Hanabi Fantast,Magical Company,Magical Company,"July 16, 1998",Unreleased,Unreleased,
1299,Hanafuda,Selen,Selen,"January 24, 2002",Unreleased,Unreleased,
1300,Hanafuda (Hyper Value 2800),Konami,Konami,"January 13, 2000",Unreleased,Unreleased,
1301,Hanafuda & Card Game,Yuki,DigiCube,"January 24, 2002",Unreleased,Unreleased,
1302,Hanafuda Graffiti: Koi Koi Monogatari',I'Max,I'Max,"May 10, 1996",Unreleased,Unreleased,
1303,Hanafuda II,Success,Success,"October 28, 1999",Unreleased,Unreleased,
1304,Hanafuda Real 3D,Pony Canyon,Pony Canyon,"December 10, 1998",Unreleased,Unreleased,
1305,Happy Diet,Twilight Express,Twilight Express,"April 26, 2001",Unreleased,Unreleased,
1306,Happy Hotel,Tohoku Shinsha,Tohoku Shinsha,"November 27, 1997",Unreleased,Unreleased,
1307,Happy Jogging in Hawaii,Twilight Express,Twilight Express,"November 29, 2001",Unreleased,Unreleased,
1308,Happy Salvage,Media Works,Media Works,"August 31, 2000",Unreleased,Unreleased,
1309,Hardball '99,Mindspan,Accolade,Unreleased,Unreleased,"October 15, 1998",
1310,HardBall 5,SPS,"SPSJP, AccoladeNA","December 13, 1996",Unreleased,"April 15, 1996",
1311,Hard Blow,Electronic Arts Victor,Electronic Arts Victor,"July 31, 1997",Unreleased,Unreleased,
1312,Hard Boiled,"Cryo Interactive, Sieg","Cryo Interactive, Sieg","July 30, 1998",October 1997,Unreleased,
1313,Hard Rock Cab,Asmik Ace,Asmik Ace,"February 16, 1996",Unreleased,Unreleased,
1314,Harlem Beat: You're the One,Konami,Konami,"October 28, 1999",Unreleased,Unreleased,
1315,Harmful Park,Sky Think Systems,Sky Think Systems,"February 14, 1997",Unreleased,Unreleased,
1316,Harry Potter and the Chamber of Secrets,Argonaut Games,"EA Games, Electronic Arts, Electronic Arts Victor","November 23, 2002","November 15, 2002","November 15, 2002",
1317,"Harry Potter and the Sorcerer's Stone•Harry Potter and the Philosopher's StoneJP,PAL",Argonaut Games,"Electronic Arts, Electronic Arts Victor","December 1, 2001","November 16, 2001","November 16, 2001",
1318,Harukanaru Toki no Naka De,Koei,Koei,"April 6, 2000",Unreleased,Unreleased,
1319,Harukanaru Toki no Naka de: Banjyou Yuugi,Koei,Koei,"June 26, 2003",Unreleased,Unreleased,
1320,Harukaze Sentai V-Force,Ving,Ving,"November 15, 1996",Unreleased,Unreleased,[63]
1321,Harvest Moon: Back To Nature,Victor Interactive Software,"Victor Interactive Software, Natsume, Ubisoft","December 16, 1999","January 26, 2001","November 17, 2000",
1322,Hashiriya: Ookami Tachi no Densetsu,Nihon Bussan,Nihon Bussan,"April 18, 1997",Unreleased,Unreleased,
1323,Hatsukoi Valentine,Fill-in-Cafe,Family Soft,"July 31, 1997",Unreleased,Unreleased,
1324,Hatsukoi Valentine Special,Family Softf,Family Soft,"November 5, 1998",Unreleased,Unreleased,
1325,Haunted Junction: Seitokai Badge wo Oe!,MediaWorks,MediaWorks,"January 17, 1997",Unreleased,Unreleased,[64]
1326,HBO Boxing,Osiris Studios,Acclaim,Unreleased,"February 16, 2001","November 20, 2000",[65]
1327,Head to Toe 1,Lightspan,Lightspan,Unreleased,Unreleased,1998,
1328,Head to Toe 2,Lightspan,Lightspan,Unreleased,Unreleased,1998,
1329,Head to Toe 3,Lightspan,Lightspan,Unreleased,Unreleased,1998,
1330,Head to Toe 4,Lightspan,Lightspan,Unreleased,Unreleased,1998,
1331,Heart of Darkness,Amazing Studios,"Ocean Software, Interplay, Infogrames",Unreleased,July 1998,"July 31, 1998",
1332,Heaven's Gate •Yusha: Heaven's GatePAL,Atlus,"Atlus, JVC Music Europe","December 13, 1996",October 1997,Unreleased,
1333,Hebereke's PopoittoPAL•Hebereke Station PopoittoJP,Sunsoft,Sunsoft,"May 26, 1995","March 1, 1996",Unreleased,
1334,Hei-Sek-Ki-In,Success,GameBank,"December 18, 1997",Unreleased,Unreleased,
1335,Heisa Byouin,Visit,Visit,"April 20, 2000",Unreleased,Unreleased,
1336,The Heiwa Otenki Studio,Aqua Rouge,Aqua Rouge,"March 29, 2001",Unreleased,Unreleased,
1337,Heiwa Pachinko Graffiti Vol. 1,Aqua Rouge,Aqua Rouge,"December 9, 1999",Unreleased,Unreleased,
1338,Heiwa Pachinko Graffiti Vol. 2,Aqua Rouge,Aqua Rouge,"December 9, 1999",Unreleased,Unreleased,
1339,Heiwa Parlor! Pro: BunDoriKing Special,Namco,Namco,"December 27, 2001",Unreleased,Unreleased,
1340,Heiwa Parlor! Pro: Dolphin Ring Special,Telenet,Nippon Telenet,"March 30, 2000",Unreleased,Unreleased,
1341,Heiwa Parlor! Pro: Fujiko Nio-ma-ka-se Special,Mitsui Bussan,Mitsui Bussan,"December 28, 2000",Unreleased,Unreleased,
1342,Heiwa Parlor! Pro: Inkappe Taishou Special,Telenet,Nippon Telenet,"August 10, 2000",Unreleased,Unreleased,
1343,Heiwa Parlor! Pro: Lupin Sansei Special,Telenet,Nippon Telenet,"January 13, 2000",Unreleased,Unreleased,
1344,Heiwa Parlor! Pro: Tsunatori Monogatari Special,Telenet,Nippon Telenet,"March 7, 2002",Unreleased,Unreleased,
1345,Heiwa Parlor! Pro: Western Special,Telenet,Nippon Telenet,"February 3, 2000",Unreleased,Unreleased,
1346,Hellboy: Asylum Seeker,DreamCatcher Interactive,"DreamCatcher Interactive, Wanadoo Edition",Unreleased,Unreleased,"August 7, 2003",
1347,Hellnight•Dark MessiahJP,Atlus Co.,"Atlus Co., Konami","June 11, 1998","December 30, 1999",Unreleased,
1348,Hello Kitty Block Kuzushi,Tamsoft,D3Publisher,"October 25, 2001",Unreleased,Unreleased,
1349,Hello Kitty Bowling,Tamsoft,D3Publisher,"August 30, 2001",Unreleased,Unreleased,
1350,Hello Kitty's Cube Frenzy•Hello Kitty: Cube de CuteJP,Culture Publishers,"Culture Publishers, NewKidCo","June 25, 1998",Unreleased,"March 30, 1999",
1351,Hello Kitty Illust Puzzle,Tamsoft,D3Publisher,"August 30, 2001",Unreleased,Unreleased,
1352,Hello Kitty no Oshaberi ABC,Atlus,Atlus,"October 11, 2001",Unreleased,Unreleased,
1353,Hello Kitty no Oshaberi Town,Atlus,Atlus,"December 14, 2000",Unreleased,Unreleased,
1354,Hello Kitty no Uchi Nioi Deyo,Bandai,Bandai,"July 18, 2002",Unreleased,Unreleased,
1355,Hello Kitty to Album Nikki o Tsukuri Masho!,Banpresto,Banpresto,"March 27, 2003",Unreleased,Unreleased,
1356,Hello Kitty Trump,Tamsoft,D3Publisher,"October 25, 2001",Unreleased,Unreleased,
1357,Hello Kitty: White Present,Hudson Soft,Hudson Soft,"December 17, 1998",Unreleased,Unreleased,
1358,Herc's Adventures,LucasArts,"LucasArts, Virgin Interactive, Bullet Proof Software","June 25, 1998",December 1997,"July 31, 1997",
1359,Herkules,The Code Monkeys,Phoenix Games,Unreleased,2003,Unreleased,
1360,Hermie Hopperhead: Scrap Panic,SCEI,SCEI,"September 29, 1995",Unreleased,Unreleased,
1361,Heroine Dream,Map Japan,Map Japan,"October 10, 1996",Unreleased,Unreleased,
1362,Heroine Dream 2,Map Japan,Map Japan,"June 18, 1998",Unreleased,Unreleased,
1363,Hexamoon Guardians,Increment-P,Increment-P,"March 30, 2000",Unreleased,Unreleased,
1364,HeXen,Raven Software,"GT Interactive, GameBank","March 19, 1998",March 1997,"June 30, 1997",
1365,Hi-Hou-Ou: Mou Omae Tobakuchi Kikan!!,Lay-Up,Lay-Up,"April 25, 1997",Unreleased,Unreleased,
1366,Hi-Octane,Bullfrog Productions,"Electronic Arts, Electronic Arts Victor","January 13, 1996",December 1995,"December 1, 1995",
1367,Hidden & Dangerous,Illusion Softworks,Take-Two Interactive,Unreleased,"November 23, 2001",Unreleased,
1368,High Heat Baseball 2000,Team .366,The 3DO Company,Unreleased,Unreleased,"May 12, 1999",[66]
1369,High Heat Major League Baseball 2002,The 3DO Company,The 3DO Company,Unreleased,Unreleased,"March 14, 2001",[67]
1370,Highschool Kimengumi: The Table Hockey,Break,Bandai,"December 20, 2001",Unreleased,Unreleased,
1371,High School of Blitz,Japan Media Programming,MediaWorks,"November 25, 1999",Unreleased,Unreleased,
1372,Hikari no Shima: Seven Lithographs in Shining Island,Affect,Affect,"November 11, 1999",Unreleased,Unreleased,
1373,Hikaru no Go: Heian Gensou Ibunroku,KCEJ,Konami,"May 30, 2002",Unreleased,Unreleased,
1374,Hikaru no Go: Insei Choujou Kessen,Tenky,Konami,"December 19, 2002",Unreleased,Unreleased,
1375,Himiko-Den Renge,Chime,Hakuhodo,"March 11, 1999",Unreleased,Unreleased,
1376,Himitsu Kessha Q,Right Stuff,Right Stuff,"July 30, 1998",Unreleased,Unreleased,
1377,Himitsu Sentai Metamor V Deluxe,Feycraft,Mycom,"October 15, 1998",Unreleased,Unreleased,
1378,Hissatsu Pachi-Slot Station,SunSoft,SunSoft,"August 20, 1998",Unreleased,Unreleased,
1379,Hissatsu Pachi-Slot Station 2,SunSoft,SunSoft,"September 28, 1998",Unreleased,Unreleased,
1380,Hissatsu Pachi-Slot Station 3,SunSoft,SunSoft,"March 4, 2000",Unreleased,Unreleased,
1381,Hissatsu Pachi-Slot Station 4,SunSoft,SunSoft,"July 27, 2000",Unreleased,Unreleased,
1382,Hissatsu Pachi-Slot Station 5,SunSoft,SunSoft,"November 16, 2000",Unreleased,Unreleased,
1383,Hissatsu Pachi-Slot Station SP,SunSoft,SunSoft,"December 16, 1999",Unreleased,Unreleased,
1384,Hissatsu Pachi-Slot Station SP 2,SunSoft,SunSoft,"September 14, 2000",Unreleased,Unreleased,
1385,Hissatsu Pachi-Slot Station SP 3,SunSoft,SunSoft,"January 1, 2002",Unreleased,Unreleased,
1386,Hissatsu Pachinko Station,SunSoft,SunSoft,"September 13, 1996",Unreleased,Unreleased,
1387,Hissatsu Pachinko Station 2,SunSoft,SunSoft,"December 25, 1997",Unreleased,Unreleased,
1388,Hissatsu Pachinko Station 3,SunSoft,SunSoft,"December 17, 1998",Unreleased,Unreleased,
1389,Hissatsu Pachinko Station 4,SunSoft,SunSoft,"March 11, 1999",Unreleased,Unreleased,
1390,Hissatsu Pachinko Station 5,SunSoft,SunSoft,"June 10, 1999",Unreleased,Unreleased,
1391,Hissatsu Pachinko Station 6,SunSoft,SunSoft,"July 1, 1999",Unreleased,Unreleased,
1392,Hissatsu Pachinko Station 7,SunSoft,SunSoft,"November 25, 1999",Unreleased,Unreleased,
1393,Hissatsu Pachinko Station 8,SunSoft,SunSoft,"March 30, 2000",Unreleased,Unreleased,
1394,Hissatsu Pachinko Station 9,SunSoft,SunSoft,"June 8, 2000",Unreleased,Unreleased,
1395,Hissatsu Pachinko Station 10,SunSoft,SunSoft,"October 19, 2000",Unreleased,Unreleased,
1396,Hissatsu Pachinko Station Now,SunSoft,SunSoft,"September 30, 1999",Unreleased,Unreleased,
1397,Hissatsu Pachinko Station Now 2,SunSoft,SunSoft,"December 22, 1999",Unreleased,Unreleased,
1398,Hissatsu Pachinko Station Now 3,SunSoft,SunSoft,"February 3, 2000",Unreleased,Unreleased,
1399,Hissatsu Pachinko Station Now 4,SunSoft,SunSoft,"July 6, 2000",Unreleased,Unreleased,
1400,Hissatsu Pachinko Station Now 5,SunSoft,SunSoft,"July 19, 2000",Unreleased,Unreleased,
1401,Hissatsu Pachinko Station Now 6,SunSoft,SunSoft,"November 16, 2000",Unreleased,Unreleased,
1402,Hissatsu Pachinko Station Now 7,SunSoft,SunSoft,"December 28, 2000",Unreleased,Unreleased,
1403,Hissatsu Pachinko Station Now 8: Jarinko Chie,SunSoft,SunSoft,"March 15, 2001",Unreleased,Unreleased,
1404,Hissatsu Pachinko Station Now 9,SunSoft,SunSoft,"February 7, 2002",Unreleased,Unreleased,
1405,Hissatsu Pachinko Station Puchi,SunSoft,SunSoft,"September 22, 1999",Unreleased,Unreleased,
1406,Hissatsu Pachinko Station Puchi 2,SunSoft,SunSoft,"February 10, 2000",Unreleased,Unreleased,
1407,Hissatsu Pachinko Station Toyomaru Special,SunSoft,SunSoft,"October 12, 2000",Unreleased,Unreleased,
1408,Hissatsu Pachinko Station: Classic,SunSoft,SunSoft,"April 8, 1999",Unreleased,Unreleased,
1409,Hissatsu Pachinko Station: Classic 2,SunSoft,SunSoft,"March 30, 2000",Unreleased,Unreleased,
1410,Hissatsu Pachinko Station: Monster House Special,SunSoft,SunSoft,"October 29, 1998",Unreleased,Unreleased,
1411,History of Kita Denshi,Map Japan,Map Japan,"January 18, 2001",Unreleased,Unreleased,
1412,Hit Back,Tomy Corporation,Tomy Corporation,"April 15, 1999",Unreleased,Unreleased,
